Date,Rating,Title,Content,Pros,Cons
2019-06-04,2,,,,
2019-05-21,5,"Great jobCoating Technician (Former Employee) - Canton, OH - May 21, 2019Clean facility, great co-workers.","..Supervisors always on hand, understanding, and did not micro-manage.  Pay was excellent & benefits sufficient. Crew schedule allowed for a good work/life mix.","Pay, Benefits",Constantly changing business dynamic
2019-05-16,3,"It was a nice place to workUnloading Steel (Former Employee) - Weirton, WV - May 16, 2019It was a good place to work because the time went fast because it's fast pace.",I like when the time goes fast and I worked 12 hour days but it was a good job.,The time went fast because i was busy,It was bad on the back
2019-05-14,5,"Very good companyQuality Control Inspector (Current Employee) - Verona, VA - May 14, 2019I’m so excited with my job at Ball , very good benefits specially for my family, no complaints about  management at all.","Different languages speak at the company , no racism.",Break paid,Good Healt insurance
2019-05-06,2,"UnderstaffedMaintainer (Former Employee) - Columbus, OH - May 6, 2019Plant is way understaffed.",Pay is decent but be ready to do your job along with somebody else’s. The HR dept was terrible! No communication with employees besides the monthly meeting you’re forced to attend after your shift is over. They’ll tell you their plans at the meetings but hardly ever follow thru with them.,"4x4 schedule, decent pay",Management plays politics
2019-05-04,4,"it was a friendly place and loved working thereSorter (Former Employee) - Monticello, IN - May 4, 2019i would love to try to get on there i worked there threw  a temp service and my assignment was over but I would love the chance to become a ball employee full time or even part time.",.,,
2019-04-23,1,"Extremely unstable place to workCoil line maintainer (Former Employee) - Springdale, AR - April 23, 2019This company used to be one of the best places around to work, but since new ownership and inexperienced management took over, it is now one of the worst and most unstable places to work in Springdale.",Hours and shifts are constantly changing and management constantly lies to you. There is no such thing as seniority there.,None,"Long hours, unstable job, poor management and HR"
2019-04-12,1,"disorganized and out datedProject Manager - Associate (Former Employee) - Denver, CO - April 12, 2019horrible management of resources.",poor execution of the vision for the future. Profit or people mind set. Will cut cost as risk of employee safety. Does not understand total market.,none,structure
2019-04-09,5,"Great place to work!Production Supervisor (Former Employee) - Blytheville, AR - April 9, 2019Ball Corporation moved to Springdale Arkansas from Blytheville Arkansas so that's the reason why I had to move on to another job.",Ball was great place to work.  Very fast pace.,,
2019-04-03,4,"Long hours, swing shift, fast paced, learning environmentProduction Technician (Current Employee) - Golden, CO - April 3, 2019Fast paced work environment with long hours.",Friendly staff that help to train and educate new hires to be successful. Hard but fulfilling work. Plenty of room for growth.,"Great compensation and benefits, learning environments, plenty of breaks","long hours, swing shift"
2019-04-02,4,"Expansive company that provides many learning opportunitiesLead Service Desk Analyst (Former Employee) - Broomfield, CO - April 2, 2019Great company to work for and helps fund the improvement and education of its workers.","However, the company is going through a large restructure and is outsourcing many positions.",,
2019-03-26,1,"Dissatisfied by union and management of such a great nameIndustrial Mechanic (Former Employee) - Middletown, NY - March 26, 2019You either fit in or don’t.","Union guys were a holes and drunks. No work/home life balance 12 hrs a day 4 on 4 off of your not mandated then switches weekly between days and nights. 12hrs-4days 4days off if not mandated then 12hrs-4nights if not mandated. Then home eat shower sleep then get up and do it all over. Body has no time to adjust. Management doesn’t acknowledge any issues and uses favoritism for certain employees. Multiple people I worked with slept while operating industrail can presses/body makers, but don’t let management catch you even sitting down for a moment if your the rookie. No appreciation of employees values or home life. Left early one day to go to the emergency room and got a doctors note and called and told them I wouldn’t be in for a couple of days because of my issue and even dropped off the note and receive a attitude when I dropped it off. Few weeks later I’m called into the office and (let go) and told I can come back to pick up my tool box, so I took it as a blessing and told them no sense to come back my truck is outside let’s load it up now. This was on the night/day of dec31/Jan1 at 6am after a 12 hr shift I couldn’t care less at that point. Pay was great but experience was horrendous. I pity those who work for them.",It’s not all about the money but pay was good,Too many
2019-03-22,4,"i was there for 16 years and love that placePressman Operator (Former Employee) - Elgin, IL - March 22, 2019Ball was a fun and organize plant to work for everybody did their job other than the heat and cold awesome place to work for a lot a room for advancement /Prosgreat paid 4 weeks vacation with in your first 4 years.",Consplant closed,,
2019-03-19,4,"Great place to workTreasury Consultant (Current Employee) - Denver, CO - March 19, 2019•	Lead consultant and project lead on the Head Office TMS implementation of FIS Quantum.","•	STP for FX deals with FX position & currency translation accounting entries interfaced into JD Edwards Accounting System.•	Swift payments fully operational from FIS Quantum for key relationship banks. •	Monthly interest accruals interfaced into JD Edwards for all derivatives including bonds, letters of credit & uncommitted facilities.•	Commodity MTM & settlement entries interfaced from Kiodex to Quantum and finally into JD Edwards.•	Back office reconciliation fully automated with the creation of mapping on the FTP site•	Supporting the Treasury Teams in Europe & Norht America in all daily operations as Money market deals, FX deals (Input – Not execution), IC + loan handling, Cash forecasting, payments & general ad-hoc queries.•	Returned to Luton office on 2nd January to continue projects with the European Treasury TeamBall Corporation, Luton 						Apr 2017 – Jul 2018Ball Corporation is a provider of metal packaging for beverages, foods and household products, and of aerospace and other technologies and services to commercial and governmental customers. Founded in 1880, the company employs 18,450 people worldwide.Key Responsibilities: •	Implementation of new Treasury and Risk management solutions in Europe (Quantum & Kiodex). Extended implementation for North America.•	System administrator of Ball’s Treasury Management System “Quantum”. The Treasury Consultant lead for Treasury Transformation Project, POBO ROBO (Payments on behalf of / receipts on behalf - more...",,
2019-03-16,5,Great Company! Too bad they contracted for an abysmal venue.,"Systems Administrator (Current Employee) - Blossvale, NY - March 16, 2019If it wasn't for the location (Air Force Research Laboratory, Rome, NY), Ball Corporation is easily one of the BEST tech corporations to have the privilege to work for!",Insanely great benefits.,Air Force Research Laboratory
2019-03-15,4,Great paying job.,"Demanding scheduleMaterial Handler (Former Employee) - Fort Atkinson, WI - March 15, 2019Your schedule is 3 on, 3 off, so your [weekend] is never the same.  12 hour days, 6:00 to 6:00.  You switch from day shift to night shift every 9 weeks.  So, the schedule can be tough (you never really adjust).  7 vacation days after 1 year.  11 days after 3 years.  Plus, you are allowed to trade days with opposite crew members, so there is a lot of flexibility with the schedule.  The pay compensation is GREAT!  You can truly build your career at Ball.  The work performed is pretty easy, most of the time.  As a lot of employees say, ""they don't pay you for what you know/do, they pay you for your time.""It is a great place to work, if you don't have a family.  Which is why I quit.","Pay, 3 day weekends","Swing shift, tough to schedule life outside of work"
2019-03-13,3,"One of the greatest places I ever had the opportunity to work at for over 9 yearsBack end technician (Former Employee) - Chatsworth, CA - March 13, 2019Great place to work, great comradery with fellow workers.",However once Ball bought our  facility along with a few others they closed us down along with our facilities and moved to another state.,Great pay great benefits,Poorly managed by managers and supervisory staff
2019-03-11,3,"naAssociate (Current Employee) - Columbus, OH - March 11, 2019Not much to tell it's different for each person who's currently working here or has worked here.","You work half a year with a rotating schedule of four days on and four days off, given or take with overtime.",,
2019-03-08,5,It was a fun workplace and great learning experience.,"LEAD MAINTENANCE MAINTAINER (Former Employee) - Chatsworth, CA - March 8, 2019It was a good place to share information of the work with others. It was a good place to work as a team as well. Good place to learn about production mechanic.",Free lunches,Ventilation
2019-03-06,4,"Good atmosphereHuman Resources Payroll & Accounts Payable (Former Employee) - Delran, NJ - March 6, 2019Very productive plant, had many positions there and worked in a few different departments.",Room for growth and a nice place to work until it was sold.,,
2019-03-05,2,Horrible Treatment.,"Production Technician (Former Employee) - Fairfield, CA - March 5, 2019The sell point is 4 days on and 4 days off. The reality is that the majority of the time employed(1 year) it was more like 6 days on and one off, which leaves no time for a family life. I was injured on the job, they worked me for 3 more days after being notified of my injury then took me to the doctors. I was placed on light duty for two weeks, once cleared ( which I cleared myself because they weren’t giving me hours on light duty) they suspended me on my year anniversary and terminated me 8 days later. They fired me over the phone, terminated me before I would have received a bonus of over 500+ overtime hours, took 3 weeks to return my tools and personal effects, and cut me a last check that bounced and didn’t get corrected for 10 days. Horrible upper management , zombie like co-workers due to lack of time off. Not a job for a family man.",,
2019-02-19,1,"No room for advancements or opportunities laid toBodymaker Operator (Current Employee) - Dandridge, TN - February 19, 2019I have work for the company for 19 years went to college and received my masters(MBA).",Was criticized  for doing so by upper management and there small followers. Was never given a opportunity passed over time and time again. With the transition to ball metalpack it is no different then before no opportunities due to the buddy system. Always a different excuse when jobs are applied for. The money is good but they have slowly taken things away from the employees. Pension was taken checks was missed up 401k was missed up. Zero communication from upper management the hush hush system. Employees are sick and tired of being treated like we dont matter. Without the employees there is no company.,"Good pay, some good people","No advancement, no communication"
2019-01-30,4,"Fun placeSupply Chain Analyst (Former Employee) - Westminster, CO - January 30, 2019fun place to work at.",I've started as supply chain analyst intern within the food and aerosol division. My supervisor and teammate have been of great help and of tremendous support,,
2019-01-21,3,"Just sign your life over and get it over withOperator/Laborer (Former Employee) - Illinois - January 21, 2019I averaged about 50 hours per week through career.","Would lay people off and then force others to work overtime.  I would volunteer to work overtime all week and then be forced to work weekends as well.Little to no chance of promotion.  To get promoted you had to buddy up with the bosses.Employees that would work would be expected to do more and those that wouldn't work would be expected to do less.As soon as times get slow then you get laid off.  It was hit or miss for 6 months of the time.  As soon as it picked back up it was mandatory 60 hour work weeks.A lot of shift changes as well. Often ask you on Thursday to work Saturday and Sunday.  Then, would post next week's schedule on Friday.Worked with a lot of people that complained and were generally unhappy.Felt like high schoolVery toxic environment.","health benefits, 401k, dental, and vision",a lot of bickering and manipulation. Supervisors best friend if they needed you
2019-01-19,4,"good jobInspection Technician (Former Employee) - Rome, GA - January 19, 2019this was A great job.",the only bad part of it was the pace and stress level of the job. everyone was stressed all the time. you are involved in making 6 million cans per shift,great money,long stressful hours
2019-01-14,3,,,,
2019-01-10,4,,,,
2019-01-05,5,"SecurityLieutenant of Security (Current Employee) - Williamsburg, VA - January 5, 2019It was ok i liked it in some ways but would not highly recommend to anyone mundane work environment and low pay for the position would suggest looking other where.",,,
2018-12-29,4,"Production orientedJourneyman Pressman (Former Employee) - Elgin, IL - December 29, 2018I came to Ball as a supervisor and oversaw 12 lines.","Being a union facility, we had a shop foreman assist with the operation of 10 lines. This involved hands on assistance with any crew member. Being a seasoned facility, most every employee got along real well with each other and new their roles. The company moved managers around departments quite often, so you got a chance to work along side a number of individuals. This aided in gathering more insight and ability to draw from their experience in the plant.  Hardest was getting use to getting around such a large facility, safely and quickly, so lines didn't spend much time waiting for assistance.  I enjoyed meeting new, professional employees. Plus learning the finishing end to making cans, since Ball was a complete facility. Birth to product.",8 straight with relief members to enable keeping lines running through breaks/lunch.,plant closure
2018-12-24,1,,,,
2018-12-21,3,"Great EmployeesExecutive Assistant (Current Employee) - Westminster, CO - December 21, 2018Great co-workers.","Everyone very friendly and a relaxed atmosphere.  Typical day is regular admin duties  travel, calendar management, etc.  Only upper management can work from home.  Most enjoyable part of the job is interacting with co-workers and being a great team.",Great Atmosphere,Not allowed to work from home. Can't take unpaid time off. Not a good work/life balance
2018-12-19,4,"Good place to workElectrician (Current Employee) - Milwaukee, WI - December 19, 2018Lots of overtime, but overall pretty laid back environment.",Management is decent. We were just bought out by an investor and things might be going downhill from here.,,
2018-11-26,4,"Was a great place to work until changesHuman Resources/Safety Coordinator (Former Employee) - Dandridge, TN - November 26, 2018Was a great place to work while it was Ball Corporation but when it was bought out by Platinum Equity on July 31, 2018 and called Ball Metalpack almost all of the Management Team has been terminated or demoted, leaving no one for the employees to go to for help.",,"Was a great team to work with, good benefits.",Took away pension.
2018-11-19,4,Great place to work.,"Great placeSupervisor Plant Engineering (Former Employee) - Weirton, WV - November 19, 2018Ball was a place that everyone was family.  Due to some bad corporate decisions the closed the Weirton, WV plants down.  I was not the workforce or the present plant level management it was a decision from corporate.  The plant was coming out of the bad management ant flourishing when the closed. A decision that ultimately caused the to sell the division.  I was a great place to worl",Unbelievable people,Bad Corporate Decisions
2018-11-07,3,"Cutting jobs to savemoneyAssociate Coordinator (Former Employee) - Westminster, CO - November 7, 2018relocating jobs by cutting employees to go to another country does not help with morale.",Management does not communicate with employees for future employment..,Good wages,communication
2018-11-05,5,"very enjoyable due to i was my own bossCoil Line Mechanic/Forklift Driver (Former Employee) - Commerce, CA - November 5, 2018very productive and relax  .",I learned how to perform diffrent setups on the line  .management was very professional .very fun place to work  .the hardest part of the job was when we had to do many change/overs on one single day  .very relax environmental and friendly coworkers.,,
2018-10-27,5,"Great ManagementPlant Production Supervisor (Current Employee) - Verona, VA - October 27, 2018I am working for Ball Corporation at Verona, VA since the end of June 2018 to now.","I am a salaried employee and I am glad that I chose this place to continue my career. Ball has strong management in Verona, VA. The job environment is friendly and at the same time, they treat everyone fairly and respectfully. Everyone will receive an equal opportunity to be recognized. Promotions are handled fairly which make you a hard worker and a good learner.  Attendance and commitment to work are important aspects for upper managemnt. They have a perfect training program for every position that they hire. They invest in training fairly more than the majority of companies. Job security is at a high level as long as you do your job and you have a good sense of commitment.","Fairness, Training","Workplace is loud and noisy, summer time is hot too."
2018-10-06,2,"Dirty and noisy with many potential safty hazardsWeld maintainer (Former Employee) - Hilliard, OH - October 6, 2018Outdated equipment and poor management are just a few reasons i no longer work there.",the company has sold the food can division and the 401k will no longer be matched beginning January 1st 2019,,
2018-09-30,4,Productive and fun atmosphere.,"Coordinator, Accounts Receivable (Former Employee) - Broomfield, CO - September 30, 2018Loved working with my team. Manager was great. Ball also has many opportunities for employees to take advantage of. The office itself was also great. The provided us with a gym.","The different resource groups, training offered, and benefits.","I felt they favored people and helped certain individuals succeed, Didn't feel the higher ups were out to help everyone."
2018-09-19,3,"Not a fun workplace at allUtility Operator (Current Employee) - Canton, OH - September 19, 2018People have poor attendance.",Horrible management. People with poor attendance they report off too much and your workload doubles. Supervisors are not allowed to help out.,money is good,poor management
2018-09-06,4,"Ball is a good placeProject Electrical Engineer (Former Employee) - Broomfield, CO - September 6, 2018Ball has a mentality of work first.","When I was there the travel exceeded 75% and they wanted more. If you learn fast and can dedicate yourself to the job, it is the place for you. The training, the opportunity is there if you can handle the work life split they offer,",Good benefits and salary.,Always away from home.
2018-08-29,2,,,,
2018-08-26,4,"Great working schedule,Production Supervisor (Former Employee) - Reidsville, NC - August 26, 2018Great place to work with a 12 hour schedule and 4 day off per week.",Mangement  is fair and treats all employees well. Unfortunately the plant had to close.,,
2018-08-24,4,"good job , great UnionJourneyman / Operations (Former Employee) - Wallkill, NY - August 24, 2018Ball Inc.","in Wallkill NY was a great job ! the management and Union personal were the best I have worked to date. I wish there was a local plant I would defiantly work for them again! The swing shift was not my favorite thing but they pay and work was good , I had a lot of good people I worked with there !","good payb, and good people",stressful at times but fun
2018-08-21,1,"Good co workers but terrible upper managementCET (Current Employee) - Wallkill, NY - August 21, 2018Great people to work with,but management holds grudges.",no personal or sick time and excessive favoritism.Cannot trust many managers because there being controlled by HR manager.,None,None
2018-08-18,5,"Great learning experienceFront End Mechanic (Former Employee) - Chatsworth, CA - August 18, 2018Learned countless skills and responsibility during my many years employed there , great pay, awesome benefits,  friendly environment, always held events for family.",,Great learning experience,No longer in business
2018-08-18,4,"Life at BallEnd Technician (Former Employee) - Bristol, VA - August 18, 2018Well with rotating shifts every three days I had no family life and the fact of the matter is, I always felt tired and stressed out.",No rest forced overtime and my diet was a mess.,pay,work schedule
2018-08-15,4,"Production is priorityIndustrial Control Electrician (Current Employee) - Columbus, OH - August 15, 2018A typical day goes super fast, 12 Hrs with the multiple support calls through out the day to assist Machine operators.",Must be mechanical incline since usually everything is overlook and immediately is addressed as electrical. It means do not overthink the problem.  Management usually maintain a focus on maximum production and magically wants problems to disappear or desire a push button to fix any issue.Here you can find a mix of early 1900's and state of the art technology but it is preferred to be obsolete when the company gets it.,"4 on 4 off, Pay is decent.",if you are young is all good. Lot of OT.
2018-08-14,5,"loved BallCan Lid Tender and Rework Coordinator (Former Employee) - Bristol, VA - August 14, 2018plant closed but i also enjoyed the self supervised environment and open door policies they provided for all of us.","I also enjoyed the shift rotation and the swap days ,,,",day shift,union
2018-08-13,5,Great pay and Great group of people to work with.,"Maintainer (Former Employee) - Monticello, IN - August 13, 2018Great pay and benefits. Long hours 12 hour days. 4 days on 4 days off. 3 months days 3 months nights. Fellow employees are great to work with they become part of the family.",,
2018-08-11,2,"Nobody really likes their boss, this place tho.","..Maintainer (Current Employee) - Maintainer - August 11, 2018I’m a maintainer in the coil/coat building. The management on this side is terrible. We have been through 4 managers in the past year and a half. The supervisors are laughable at best. I have seen a lot of people quit recently because of management and because of manpower issues. This place has failed to adequately staff the building. The night shift crews pretty much are looked at like second class citizens. They do pay well, that’s about it. The expectations are very unclear. The one thing that is clear is what they want: HITTING STANDARD,  QUALITY, DONT GET HURT. That’s it. Expectations are not the same and there is some type of double standard issues they should work on.",Pay,"Management, understaffed"
2018-08-09,4,"Good BenefitsEquipment Engineer (Current Employee) - Broomfield, CO - August 9, 2018Excellent benefits that include pension and 401K.","The tuition reimbursement along with vacation times were also decent.  However, the traveling was too much.",,
2018-08-08,3,good co workers poor upper management.,"Millwright Mechanic (Current Employee) - Longview, TX - August 8, 2018My mornings consisted of taking air compressor running readings, to ensure optimal performance. Checking the scrap baling system for function and hydraulic leaks, repair as needed. After the morning meetings, my supervisor would task me with either line call or project fabrications/ safety repairs. some tasks were high paced, some were time critical, other would be as time allowed. The hardest part of my job is explaining my job to management team members, who weren't educated in maintenance capabilities. Most enjoyable part of my job is when I make a repair to a piece of equipment quicker than expected.",Union benefits,"No climate control on the production floor, temperatures regularly around 10-20 degrees above outside air temperature."
2018-08-07,2,"Very conservative companyBusiness Analyst (Former Employee) - Broomfield, CO - August 7, 2018This company has a long history in our community and is well established.","The job I held was contract. The staff were friendly. It was not a happy place to work, but you just go in and get the job done type of place. It was not a place I wanted to be long term. I also didn't like being told how to vote in elections coming from the top.",Friendly coworkers,"Conservative company, pushed their political agenda"
2018-08-01,2,"Intensive travel for plant engineersManufacturing Engineer (Current Employee) - Broomfield, CO - August 1, 2018Engineers supporting plant operations typical travel most weeks of the year to 26 plants.","It can be a brutal schedule, especially during startup, and is hard on families.ConsHealth plan is very expensive as you must meet a large deductible, Dental and vision insurance offered covers almost nothing",,
2018-07-31,4,"I love working for this companyProduction Supervisor (Current Employee) - Chatsworth, CA - July 31, 2018It’s very fun place to work but can be very stressful.",It’s also it union plant so makes it more difficult to work with as a production supervisor. But we work through the good and bad times.,Cake for birthdays and lunch,Lack of maintenance
2018-07-30,5,"fast paced competitive high ceiling careerMachinist/Millwright (Current Employee) - Chatsworth, CA 91311 - July 30, 2018working at ball has been an experience.",with room to grow and training available I've been able to reach goals that most companies can't offer. I highly recommend this company as a career for the worker that's capable and ready.,great work environment.,none
2018-07-23,5,"Great company I would still be there if they haven’t closed,journeyman moldmaker (Former Employee) - Muncie, IN - July 23, 2018I had a government approve apprenticeship to becomes moldmaker for glass molds.",I  thought I had a great job and great experience I would do all over if possible  I have the most respect for Ball Corporation.,,
2018-07-17,4,"Muy buen patronoMecanico Industrial (Former Employee) - San Juan, PR - July 17, 2018Excelente compañía y beneficios.",Uno de los mejores patronos del mundo.,,
2018-07-14,3,"Good pay with good benefitsEnd Technician (Former Employee) - Bristol, VA - July 14, 2018Good working conditions, 12 hour shifts, union shop.","That Ball plant where I worked closed, sending some jobs to Mexico and others to Colorado.  Otherwise, I would still be working there.",,
2018-07-10,4,"High Speed ProductionTechnician (Former Employee) - Columbus, OH - July 10, 2018You can make a beer or pop can from start to finish in 45 minutes.",Very high spped and noisy production facility. Great pay but the swing shift can cause havic on your sleep habits.,Great Pay,Very loud enviorment to work
2018-07-07,3,Company that used to be a great place to work and stopped caring about their employees.,"IT Analyst (Former Employee) - Broomfield, CO - July 7, 2018Even if you worked very hard on projects, promotions became very difficult as it was based around who you know not what you know.  There was a lot of nepotism within the organization.The outsourcing of many jobs to foreign countries has become the way at Ball and it is sad to see all the good employees just dropped like they were nothing.",Flex hours,"Outsourcing, lack of leadership, nepotism, lack of help from HR"
2018-06-29,2,"TerribleMachinist (Current Employee) - DeForest, WI - June 29, 2018i would not recommend this place to anyone.",Full of bad management and everyone wants to stab you in the back. Would not recommend to anyone. Look elsewhere.,pay,bad managment
2018-06-22,3,"Like a trip back in timeHuman Resources (Current Employee) - Colorado - June 22, 2018The pay and benefits are outstanding.","Its also nice working for a company that has been around so long. It gives you a false sense that they always will be. Ball could be a fantastic place to work. A game changer. But they seem to be struggling to blend their old school manufacturing environment into this decade.If you are used to any other corporate environment, or a Fortune 500 company, you might struggle here.This company is very laid back. And while there are aspects of that culture that are good. The majority is bad. It takes forever to get anything accomplished. Everyone at corporate is very silo'd in their job and one area doesn't talk to the other. No one sees the big picture. No one owns, or wants to own, any process. Its just assumed you will figure it out. SOP's are non existent.The policies are all very old fashioned. Job titles are old fashioned. Every system is outdated and old fashioned. Its like working in the 1980's. Almost all of the senior management has been here far to long. They are set in their ways and are not open to new ideas, or improved processes.A lot of time wasted doing very old school stuff. Everything is very very manual. Heavily male population adds to the ""Old boys club"" feel.Someone at the top needs to take a good hard look at things and make some drastic changes. Corporate is very out of touch with all the separate manufacturing plants as well, and there is ZERO consistency among the plants or the divisions.","Pay, Benefits, Pension",Environment. Policies. Lack of future vision.
2018-06-12,4,"nice place to workCoater Operator (Former Employee) - Weirton, WV - June 12, 2018nice place to work to bad it closed down they cared about the employees and had a nice work environment to work in.",nice people and management  was also nice,,
2018-06-12,4,"Pretty good place to workTechnical Consultant (Current Employee) - Broomfield, CO - June 12, 2018Recent changes/acquisitions have caused a shift in company direction with some positions being contracted out.",Overall the company is very solid as can be seen by its longevity.,,
2018-06-08,1,Unsafe Multiple OSHA violations.,"Anti-union. Moved jobs to Mexico.MAINTAINER (Former Employee) - Birmingham, AL - June 8, 2018Closed our plant and moved business to Mexico and China. Google Ball and OSHA and you will see for yourself how unsafe this company is and how little they care about the employees.",Pay,Unsafe
2018-06-07,1,"Lacks good managementCoating Technician (Former Employee) - Canton, OH - June 7, 2018The management team is egotistical, arrogant and lackadaisical.","Management spends all day in office clueless as to what goes on daily. I’ve never seen a more inadequate group of do nothings that’s soul purpose is to blame the hourly personnel.  Ball’s corporate management needs to clean house for Canton , Ohio facility to succeed. The hourly people are great workers who get beat down daily!!!",Ample time off,Poorest management I’ve ever worked for
2018-05-24,4,"Good Place to workDeco Adjuster (Current Employee) - Fort Worth, TX - May 24, 2018Ball Corp is a good place to work.",The pay is good and they treat you fairly. It is a hot and loud work environment but they care about your safety.  I would recommed it to a friend,Great pay and benefits,"Heat, long hours"
2018-05-15,3,"Warm friendly cultureNorth America IT Operations Manager (Current Employee) - Broomfield, CO - May 15, 2018Ball has been a great to work until recent upper management changes.","Ball was once a strong US based US support enterprise across North America. Recent changes has turned the company into a global entity which is driving a lot of off-shore hiring practices and reducing US staffing. For a 140 year old company, this is disappointing for many long time employees.",Mid western type working environment,Migrating many jobs to Mexico
2018-05-06,1,,,,
2018-04-28,5,Excellent workplace that I wish was still there.,"Quality Control Monitor, Full-time (Former Employee) - Bristol, VA - April 28, 2018Excellent place to work. Provided for my family well until it closed in May 2016. I would still be there until retirement if they hadn't closed the doors.",Good money and benefits,plant closed
2018-04-13,5,"Great benefits but not much job securityPress Mechanic (Current Employee) - DeForest, WI - April 13, 2018The pay rate is great and so are the benefits but they are always laying people off.",There is no job security for a family to rely on. It is a very fast past work place if that is what you like.,yearly activities,Long hours
2018-04-11,3,,,,
2018-04-09,5,Ball is a Great Place to work.,"Sr. Cyber Security Architect (Former Employee) - Broomfield, CO - April 9, 2018Ball is a Great Place to work because you get collector cans and the staff is fun and most are long term employees that love their job and are always happy to help.",Buying more companies,None
2018-04-04,3,"Nature of jobAdjuster/Operator (Former Employee) - Golden, CO - April 4, 2018Good management team.","Strong team environment. I only recommend this job for those who are not afraid to die, because it is an extremely dangerous place to work for, where the amount of accidents is high, and people did loose their lives there as well. Good opportunities to advance. The pay is above average, due to danger factors on the floor. If you do your job well, the job security is good.",Good job security,A lot of accidents occur on the production floor.
2018-04-03,2,"Used to be nice now all they care about is productionNecker Tender - quality (Former Employee) - Phoenix, AZ - April 3, 2018They blame employees for getting hurt.",But don’t actually want to spend the time to fix the problems that cause the accidents until they get in trouble with corporate,,
2018-03-28,2,"poor placeElectrician / Electrical Tech (Former Employee) - Columbus, OH - March 28, 2018hard to say nice things about a company that allows it management team to put their hands on employees and then threatens the hourly employee after refusing to ask witnesses of the incident.",,,
2018-03-15,2,"No integrityAccounts Payable Processor (Former Employee) - Broomfield, CO - March 15, 2018Management has no integrity and the Company doews not care about its U.",S. Employees..  laid of  2 departments and offered terrible severence packages because the didnt care if you worked for them for anything more than 5 years,,
2018-02-27,2,"Not the best place to work forpacker operator (Former Employee) - Verona, VA - February 27, 2018Management shows favoritism on the floor and wont promote people based on job experience.","Lots of overtime and they seem to drag their feet to hire new people. Its almost normal to have 2 overtime spots per shift. So not much time to have with family as they feel work is your only family and your real family should take a backseat. You have to save one week of vacation for one of 2 plant shutdown when they do work on the equipment. So its really like you don't have vacation as they dictate when you can  take that one week and now you start with only one week. The only plus is the end of year bonus but no grantee  you will get one. Other than  that management will tell you how bad the shifts are doing. Even though when Some higher Ball corporate person has a visit and tells us how great we did for the whole year. It confuses the workers in  who is telling the truth. Training is a joke there now. You get 7 days even though they say 2 weeks. with 12hr shifts that equals to like 7 days. They cant figure out why people don't stay. If you need a job that's what it is just a job until you can  find something better. If they had better management the plant would run much better but if you are not a ""yes"" person and question things. Then you wont last long.",Year end bonus,Poor management staff
2018-02-22,4,Good people to work with.,"Material Handler (Former Employee) - Milwaukee, WI - February 22, 2018The most enjoyable part of the job was the people I worked with. As long as you showed up and worked hard they would leave you alone. Worked 12 hour days. 4 on 3 off 3 on 4 off.",Good pay,Medical Insurance
2018-02-20,4,"Productive Great Company to work forCustomer Tech Support (Former Employee) - Broomfield, CO - February 20, 2018Great company, Good benefits, Good peopleOpportunities for advancement.",Team atmosphereFlexible schedule in IT customer service role. I loved worked globally with customers.Would recommend employment at Ball Corporation.,,
2018-02-19,5,Great Place to Work Great Team MembersSr.,"Cyber Security Engineer (Current Employee) - Westminster, CO - February 19, 2018I came in for a 6 month contract, will be here >20 months. I have enjoyed working here, with a great Knowledgeable Team and Management. Everyone Treats you with respect and like family. Allowed to work from home one day a week, and if you have a package or other need to work from home they let you do it. As a contractor you are treated as an employee, you are expected to act like one also. Contract is coming to an end but if they call me back later depending on my circumstance I would accept without much thought.","Work from home one day a week, Great Management and Team",None that I can think of
2018-02-16,5,"Great Place to WorkCan Lid Tender (Former Employee) - Bristol, VA - February 16, 2018I really enjoyed my time working at Ball.",I liked running my machine. Everyone was very nice and respectful within the company. I was a can lid tender.,Heated smoking pad,None
2018-02-14,5,"Very loving and caring peopleAdministrative Assistant (Former Employee) - Indianapolis, IN - February 14, 2018Busy, new filing system, managed scanning and putting data in computer, mixed black and white, leaving was hard bought out by a new company.",liked all,Always friendly,Wish was more stable
2018-02-06,3,,,,
2018-02-03,1,"Worst job everPress Operator (Former Employee) - Verona, VA - February 3, 2018Never have I seen upper management actually yell at employees.",NEVER before Ball verona. NEVER have i seen sn employee written up for not doing something that they were never told to do. They just should have known. Never have i seen shift supervisors blamed for everything that happens. I was only here a few months. The work itself isnt bad. Its the management that makes it unbearable. The hastle is not worth the low pay.,Straight shifts,Everything else
2018-02-02,5,"Good company, Great people.","..Anonymous Current Employee (Current Employee) - Verona, Virginia - February 2, 2018This is a fantastic place to work. Talent is recognized and dedication is rewarded. True environment of inclusiveness and family. You've got to WANT to screw up at this place in order to do so. It's really that simple.Most positive job experience I've ever had and it just keeps getting better. Most of the complaining comes from a sense of entitlement some employees carry. Yes, it's a job...they actually expect you to perform your duties. That doesn't seem like too much to ask.Bonuses, continuous incentives for EVERYTHING, amazing benefits package, great pay, good people...sounds like a great place to work to me.You're not joining a team...you're joining a family. I'd recommend this place to anyone.Long shifts, though...and it's an industrial facility which means it's loud, dirty and has extreme temperature variances. But, if you are willing to accept those challenges and are willing to simply do your job, you'll probably like working at Ball Verona.",Extremely generous incentives and rewards...,A few bad apples rolling around here and there...
